,Unnamed: 0,Path,Transcript
2476,2476,./dataset/LibriSpeech/test-clean/3570/5696/3570-5696-0004.flac,the salient features of this development of domestic service have already been indicated
2326,2326,./dataset/LibriSpeech/test-clean/8555/284449/8555-284449-0002.flac,at the head of the pinkies were ghip ghisizzle and button bright who had the parrot on his shoulder and they were supported by captain coralie and captain tintint and rosalie the witch
1720,1720,./dataset/LibriSpeech/test-clean/1089/134691/1089-134691-0013.flac,idle and embittering finally to argue against his own dispassionate certitude that the commandment of love bade us not to love our neighbour as ourselves with the same amount and intensity of love but to love him as ourselves with the same kind of love
2175,2175,./dataset/LibriSpeech/test-clean/4992/41806/4992-41806-0014.flac,thinks i to myself i never seen anything osh popham couldn't mend if he took time enough and glue enough so i carried this little feller home in a bushel basket one night last month an i've spent eleven evenin's puttin him together
2318,2318,./dataset/LibriSpeech/test-clean/8555/284447/8555-284447-0019.flac,before any could stop him he butted his majesty so furiously that the king soared far into the air and tumbled in a heap among the benches where he lay moaning and groaning
2576,2576,./dataset/LibriSpeech/test-clean/121/123859/121-123859-0003.flac,love is a babe then might i not say so to give full growth to that which still doth grow
1983,1983,./dataset/LibriSpeech/test-clean/1580/141083/1580-141083-0034.flac,as holmes drew the curtain i was aware from some little rigidity and alertness of his attitude that he was prepared for an emergency
2284,2284,./dataset/LibriSpeech/test-clean/8555/292519/8555-292519-0001.flac,guided by you how we might stroll towards death our only music one another's breath through gardens intimate with hollyhocks where silent poppies burn between the rocks by pools where birches bend to confidants above green waters scummed with lily plants
717,717,./dataset/LibriSpeech/test-clean/7176/88083/7176-88083-0010.flac,the cat growled softly picked up the prize in her jaws and trotted into the bushes to devour it
1943,1943,./dataset/LibriSpeech/test-clean/6829/68771/6829-68771-0031.flac,her eyes wandered to the maid's hands
2233,2233,./dataset/LibriSpeech/test-clean/61/70968/61-70968-0054.flac,mistress fitzooth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet
951,951,./dataset/LibriSpeech/test-clean/5142/33396/5142-33396-0053.flac,i took five great bracelets of gold from our treasure chest and gave them to him
2161,2161,./dataset/LibriSpeech/test-clean/4992/41806/4992-41806-0000.flac,natty harmon tried the kitchen pump secretly several times during the evening for the water had to run up hill all the way from the well to the kitchen sink and he believed this to be a continual miracle that might give out at any moment
1801,1801,./dataset/LibriSpeech/test-clean/1188/133604/1188-133604-0030.flac,he knows them both
816,816,./dataset/LibriSpeech/test-clean/1284/1181/1284-1181-0009.flac,she ran to her husband's side at once and helped him lift the four kettles from the fire
1101,1101,./dataset/LibriSpeech/test-clean/2830/3980/2830-3980-0058.flac,mohammed also speaks highly of christ
1321,1321,./dataset/LibriSpeech/test-clean/908/157963/908-157963-0000.flac,to fade away like morning beauty from her mortal day down by the river of adona her soft voice is heard and thus her gentle lamentation falls like morning dew
629,629,./dataset/LibriSpeech/test-clean/8230/279154/8230-279154-0012.flac,familiarity is a feeling capable of degrees
2354,2354,./dataset/LibriSpeech/test-clean/237/134500/237-134500-0009.flac,i suppose that's the wet season too then
1124,1124,./dataset/LibriSpeech/test-clean/2830/3979/2830-3979-0004.flac,it was written in latin
533,533,./dataset/LibriSpeech/test-clean/2961/961/2961-961-0013.flac,solon marvelled and desired to be informed of the particulars
136,136,./dataset/LibriSpeech/test-clean/1320/122612/1320-122612-0016.flac,run back uncas and bring me the size of the singer's foot
